id;vendas_id;produto_id;item_quantidade;valor_unitario;"valor_bruto "
146;16;44;1;120,96;120,96
152;14;44;1;127,68;127,68
213;20;44;1;137,76;137,76
260;24;44;1;118,72;118,72
287;31;44;1;127,68;127,68
369;37;44;1;140;140
383;41;44;1;135,52;135,52
460;54;44;1;131,04;131,04
507;56;44;1;124,32;124,32
517;55;44;1;115,36;115,36
570;62;44;1;129,92;129,92
573;65;44;1;134,4;134,4
586;63;44;1;129,92;129,92
611;69;44;1;133,28;133,28
629;68;44;1;115,36;115,36
669;74;44;1;116,48;116,48
681;75;44;1;136,64;136,64
751;79;44;1;117,6;117,6
775;80;44;1;136,64;136,64
914;93;44;1;137,76;137,76
981;95;44;1;112;112
987;101;44;1;119,84;119,84
1137;109;44;1;128,8;128,8
1238;126;44;1;127,68;127,68
1298;129;44;1;138,88;138,88
1422;146;44;1;134,4;134,4
1445;150;44;1;132,16;132,16
1501;152;44;1;129,92;129,92
1552;155;44;1;114,24;114,24
1576;159;44;1;136,64;136,64
1625;162;44;1;123,2;123,2
1644;167;44;1;117,6;117,6
1714;171;44;1;134,4;134,4
1772;181;44;1;134,4;134,4
1853;193;44;1;127,68;127,68
1890;196;44;1;116,48;116,48
1936;204;44;1;115,36;115,36
1970;209;44;1;116,48;116,48
2002;217;44;1;140;140
2019;210;44;1;140;140
2054;222;44;1;125,44;125,44
2073;224;44;1;120,96;120,96
2220;242;44;1;134,4;134,4
2247;252;44;1;133,28;133,28
2248;263;44;1;127,68;127,68
2254;253;44;1;140;140
2272;257;44;1;117,6;117,6
2378;299;44;1;126,56;126,56
2434;301;44;1;135,52;135,52
2474;305;44;1;115,36;115,36
2588;326;44;1;122,08;122,08
2694;339;44;1;137,76;137,76
2788;353;44;1;132,16;132,16
2968;377;44;1;125,44;125,44
2990;369;44;1;124,32;124,32
3012;386;44;1;114,24;114,24
3152;412;44;1;128,8;128,8
3176;413;44;1;112;112
3296;419;44;1;127,68;127,68
3345;426;44;1;117,6;117,6
3353;428;44;1;137,76;137,76
3385;434;44;1;125,44;125,44
3409;437;44;1;126,56;126,56
3481;442;44;1;131,04;131,04
3585;449;44;1;137,76;137,76
3603;453;44;1;133,28;133,28
3654;456;44;1;112;112
3799;464;44;1;131,04;131,04
3889;474;44;1;117,6;117,6
3983;479;44;1;123,2;123,2
3985;482;44;1;127,68;127,68
4003;484;44;1;116,48;116,48
4148;495;44;1;112;112
4272;509;44;1;116,48;116,48
