id;data;nfe;nf_desconto;valor_bruto;valor_venda;cliente_id
11;2021-02-18 00:00:00,000;"SO43669";0;243;243;318
78;2021-03-02 00:00:00,000;"SO43882";0;261;261;83
81;2021-03-03 00:00:00,000;"SO43887";0;225;225;566
100;2021-03-06 00:00:00,000;"SO43903";0;125,44;125,44;177
116;2021-03-09 00:00:00,000;"SO43915";0;91,56;91,56;271
120;2021-03-11 00:00:00,000;"SO44082";0;120,64;120,64;77
124;2021-03-11 00:00:00,000;"SO44084";0;277,03;277,03;240
125;2021-03-11 00:00:00,000;"SO44080";0;156,4;156,4;629
144;2021-03-15 00:00:00,000;"SO44106";0;110,24;110,24;365
158;2021-03-18 00:00:00,000;"SO44118";0;536,29;536,29;418
174;2021-03-21 00:00:00,000;"SO44132";0;128,8;128,8;370
175;2023-06-20 00:00:00,000;"SO84132";0;117,3;117,3;593
183;2021-03-22 00:00:00,000;"SO44280";0;170;170;466
213;2021-03-27 00:00:00,000;"SO44303";0;274,5;274,5;488
251;2023-06-30 00:00:00,000;"SO84485";0;128,8;128,8;322
263;2021-03-31 00:00:00,000;"SO44486";0;246,72;246,72;606
264;2023-06-21 00:00:00,000;"SO84281";0;607,6;607,6;126
275;2023-06-30 00:00:00,000;"SO84482";0;170,34;170,34;56
336;2023-07-07 00:00:00,000;"SO84519";0;167,04;167,04;340
348;2021-04-09 00:00:00,000;"SO44524";0;390,66;390,66;80
367;2023-07-13 00:00:00,000;"SO84539";0;773,86;773,86;403
390;2021-04-15 00:00:00,000;"SO44553";0;207,48;207,48;169
443;2021-04-23 00:00:00,000;"SO44748";0;150;150;333
472;2021-05-01 00:00:00,000;"SO44785";0;139,15;139,15;214
479;2021-05-02 00:00:00,000;"SO44790";0;123,2;123,2;608
497;2021-05-06 00:00:00,000;"SO45041";0;307,4;307,4;165
537;2021-05-12 00:00:00,000;"SO45269";0;165,92;165,92;649
554;2021-05-15 00:00:00,000;"SO45287";0;208,75;208,75;146
600;2021-05-20 00:00:00,000;"SO45316";0;205,41;205,41;78
615;2021-05-21 00:00:00,000;"SO45324";0;276,75;276,75;438
666;2023-04-24 00:00:00,000;"SO85530";0;106,56;106,56;478
667;2021-05-25 00:00:00,000;"SO45530";0;98,88;98,88;11
669;2021-05-25 00:00:00,000;"SO45528";0;324,8;324,8;251
678;2023-04-24 00:00:00,000;"SO85523";0;578,2;578,2;483
730;2021-05-29 00:00:00,000;"SO45559";0;136;136;394
736;2023-04-29 00:00:00,000;"SO85567";0;186,9;186,9;205
852;2023-05-09 00:00:00,000;"SO86025";0;884,73;884,73;546
904;2021-06-13 00:00:00,000;"SO46046";0;162,72;162,72;96
939;2021-06-17 00:00:00,000;"SO46063";0;164,98;164,98;272
943;2021-06-18 00:00:00,000;"SO46073";0;168,67;168,67;572
946;2021-06-18 00:00:00,000;"SO46070";0;143,75;143,75;64
982;2021-06-22 00:00:00,000;"SO46096";0;185,37;185,37;503
989;2021-06-23 00:00:00,000;"SO46104";0;190,32;190,32;11
992;2021-06-24 00:00:00,000;"SO46322";0;356,7;356,7;341
1004;2021-06-26 00:00:00,000;"SO46336";0;183,82;183,82;426
1072;2021-07-10 00:00:00,000;"SO46618";0;169,92;169,92;218
1075;2021-07-10 00:00:00,000;"SO46619";0;139;139;646
1086;2021-07-13 00:00:00,000;"SO46628";0;191,88;191,88;675
1170;2021-07-29 00:00:00,000;"SO46934";0;175,68;175,68;646
1171;2023-03-29 00:00:00,000;"SO86934";0;165,6;165,6;75
1173;2021-07-29 00:00:00,000;"SO46939";0;125,35;125,35;62
1200;2023-04-01 00:00:00,000;"SO86952";0;539;539;131
1244;2021-08-12 00:00:00,000;"SO46982";0;168,64;168,64;234
1276;2021-08-24 00:00:00,000;"SO47017";0;120,75;120,75;635
1282;2021-08-25 00:00:00,000;"SO47023";0;175,68;175,68;565
1293;2021-08-28 00:00:00,000;"SO47029";0;120,75;120,75;96
1302;2021-08-31 00:00:00,000;"SO47038";0;110,4;110,4;178
1351;2021-09-17 00:00:00,000;"SO47375";0;183,6;183,6;530
1360;2021-09-19 00:00:00,000;"SO47382";0;108,12;108,12;319
1363;2021-09-19 00:00:00,000;"SO47379";0;137,36;137,36;323
1370;2021-09-21 00:00:00,000;"SO47388";0;187,92;187,92;573
1397;2021-09-29 00:00:00,000;"SO47412";0;94,08;94,08;604
1414;2021-10-03 00:00:00,000;"SO47430";0;134,55;134,55;479
1415;2021-10-03 00:00:00,000;"SO47426";0;249,75;249,75;198
1476;2021-10-23 00:00:00,000;"SO47686";0;174,72;174,72;103
1490;2021-10-26 00:00:00,000;"SO47704";0;207,48;207,48;634
1506;2021-10-31 00:00:00,000;"SO47722";0;165,6;165,6;571
1516;2021-11-01 00:00:00,000;"SO47961";0;263,25;263,25;485
1534;2021-11-06 00:00:00,000;"SO47985";0;96,96;96,96;603
1562;2021-11-12 00:00:00,000;"SO48007";0;96;96;694
1599;2021-11-20 00:00:00,000;"SO48039";0;674,2;674,2;283
1628;2021-11-25 00:00:00,000;"SO48070";0;228,14;228,14;275
1647;2021-11-28 00:00:00,000;"SO48091";0;99,84;99,84;20
1653;2021-11-29 00:00:00,000;"SO48291";0;136;136;190
1662;2021-12-01 00:00:00,000;"SO48305";0;140,3;140,3;23
1686;2021-12-05 00:00:00,000;"SO48330";0;298,7;298,7;82
