data_venda;cliente;descricao;qtd;valor_venda
2023-06-27;Monahan-Bins;Casual Day;4;2917,75
2023-09-25;Schneider and Sons;Casual Day;4;10326,55
2023-03-22;Hintz LLC;Casual Day;5;9348,78
2022-10-14;Hegmann Inc;Psyco Universe;4;9691,94
2023-08-13;Stokes, Auer and Orn;Psyco Universe;5;6145,88
2023-08-16;Dach LLC;Psyco Universe;3;5486,7
2023-10-14;Koss-Rowe;Psyco Classic;4;9837,34
2021-06-21;Feest-Torp;Psyco Classic;4;3154,86
2023-09-21;Terry, Schmeler and Konopelski;Marine Slim;3;7973,19
2023-07-29;Kautzer-Streich;Marine Slim;3;7279,87
2023-09-19;Rosenbaum LLC;Psyco Crew;3;9107,49
2023-08-07;Runolfsdottir and Sons;Psyco Crew;5;7105,41
2023-05-01;Sipes Group;Psyco Crew;3;4295,5
2023-09-28;Yost and Sons;Cammelina;5;8848,74
2022-12-17;Aufderhar-Hagenes;Cammelina;4;5071,75
2023-10-13;Cormier Group;Klamath;3;8479,05
2022-09-11;Kiehn-Friesen;Klamath;4;11639,86
2023-05-24;Emard Group;Klamath;3;11758,6
2022-08-04;Beahan and Sons;Klamath Weed;5;12728,6
2023-08-14;Murazik-Wilderman;Klamath Weed;5;4105,68
2023-08-02;Bednar LLC;Klamath White;3;9038,29
2023-08-13;Stokes, Auer and Orn;Klamath White;4;6145,88
2023-08-05;Doyle Inc;Klamath White;3;6512,26
2023-05-30;Christiansen-Mueller;Havaiana;7;9077,45
2023-09-12;Hodkiewicz, Kerluke and Nicolas;Havaiana;3;5760,41
2023-10-02;Parisian LLC;Havaiana;2;6813,53
2022-11-21;Hane LLC;Lilium;5;7746,55
2023-10-12;Stiedemann Group;Lilium;3;11558,64
2021-11-15;Keeling, Wolff and Wehner;Lilium;8;8571,8
2023-04-05;Grady, Koch and Monahan;Blazer Slim Fit;5;10704,12
2023-10-21;Hermiston-Kub;Blazer Slim Fit;5;8294,26
2023-10-22;Schulist and Sons;Paeonia;3;5946,9
2021-11-02;Rippin and Sons;Paeonia;4;6024,24
2023-10-14;Maggio, Hahn and Dietrich;Paeonia;5;11252,42
2023-03-09;Kuhic Inc;Paeonia;3;6359,05
2023-03-16;Maggio, Hahn and Dietrich;Roseta;4;4765,44
2023-08-01;Davis, Goyette and O'Hara;Roseta;5;8748,27
2023-10-21;Hermiston-Kub;Blazer Poderoso Chefão;3;8294,26
2023-07-31;Nikolaus Group;Blazer Poderoso Chefão;3;7394,86
2023-03-25;Deckow, Abshire and Bode;Blazer Poderoso Chefão;4;10281,04
2023-07-24;Glover Group;Blazer Poderoso Chefão;3;9561,24
2023-09-30;Muller, Beahan and Hermiston;Intense;3;3897,6
2023-05-05;Denesik-Hagenes;Intense;4;5552,59
2021-07-07;Block-O'Keefe;Intense;7;10273,83
2022-10-21;Kutch, Jerde and Roberts;Intense;5;4761,23
2022-11-28;Kautzer LLC;Folhagem;5;7606,34
2022-08-16;Cassin-Hand;Folhagem;4;6955,51
2022-03-25;Schamberger, Brekke and Terry;Folhagem;4;7327,27
2023-04-09;Weimann Group;Caribe;6;9401,39
2023-04-14;Lynch-Price;Caribe;3;2581,16
2023-08-05;Crist Inc;Caribe;3;4214,05
2023-09-23;Ziemann, Greenholt and O'Hara;Tropical;3;7533,04
2023-08-07;Kris-Wisozk;Tropical;3;9197,5
2023-10-20;Kulas, Gleichner and VonRueden;Canadense;5;9083,68
2023-07-27;Thompson, Lowe and Cruickshank;Canadense;4;7160,96
2023-10-06;Fadel, Beer and Barrows;Cigano;5;4646,17
2023-07-21;Sawayn-Bahringer;Cigano;5;8684,56
2023-09-01;Wilderman LLC;Cigano;3;3556,31
2023-07-22;Hilll-Schneider;Porto Rico;3;5856,26
2022-05-06;Tremblay, Boyle and Torphy;Porto Rico;5;9359,98
2023-08-16;Romaguera Group;Porto Rico;3;6599,86
2023-07-31;Weissnat, Bernhard and Carroll;Oriente;5;9873,07
2023-04-09;Lynch LLC;Oriente;3;6501,2
2023-03-26;Barrows, Fisher and Emmerich;Oriente;5;10410,08
2022-04-17;Gislason-Feil;Beach Flash;3;4646,49
2023-04-05;Grady, Koch and Monahan;Beach Flash;3;10704,12
2023-08-18;Doyle Inc;Beach Flash;5;4740,83
2023-08-14;Lynch-Kiehn;Beach Flash;3;7079,79
2023-10-03;Hermann, Murazik and Miller;Incomparaveis;9;5944,3
2023-10-22;Torp-Heathcote;Incomparaveis;6;5430
2023-09-25;Schneider and Sons;Incomparaveis;9;10326,55
2023-10-12;Quigley Inc;Incomparaveis;9;2970,52
2022-09-26;Volkman, Jaskolski and Lehner;Casual Day;4;11019,7
2021-08-26;Sawayn Group;Casual Day;4;10277,21
2021-07-23;Bode-Bradtke;Casual Day;5;9513,73
2023-08-09;Collier-Haag;Psyco Universe;3;6722,48
2023-03-23;Fahey, Crooks and Marvin;Psyco Universe;5;11268,87
2023-07-31;Nikolaus Group;Psyco Universe;3;7394,86
2022-05-21;Kautzer-Streich;Psyco Classic;3;5115,32
2023-10-12;Stiedemann Group;Psyco Classic;4;11558,64
2023-04-22;Jones and Sons;Marine Slim;3;4316,52
2023-03-20;Leffler Inc;Marine Slim;3;7816,51
2023-03-30;Herzog, Rodriguez and Waters;Marine Slim;3;8759,47
2023-07-28;Terry, Schmeler and Konopelski;Psyco Crew;3;7092,37
2023-05-28;Kovacek, Weissnat and Goodwin;Psyco Crew;5;8506,58
2022-09-08;Emmerich, Gaylord and Harber;Psyco Crew;3;1813,21
2023-08-13;Stokes, Auer and Orn;Cammelina;5;6145,88
2022-06-15;Reinger, Rogahn and Botsford;Cammelina;4;6730,83
2021-08-31;Keebler Inc;Klamath;5;8200,64
2023-07-26;Ritchie-Mosciski;Klamath;3;5830,76
2021-10-23;Wisoky, Terry and Gutkowski;Klamath;3;7174,05
2021-12-13;Stark LLC;Klamath White;4;6373
2021-09-29;Sipes Group;Havaiana;7;8911,56
2023-07-31;Nikolaus Group;Havaiana;3;7394,86
2023-04-08;Dooley LLC;Havaiana;3;5939,83
2023-05-28;Hodkiewicz, Kerluke and Nicolas;Lilium;3;6303,75
2023-03-21;Parisian, Nolan and Crist;Lilium;5;9116,22
2021-07-07;Funk and Sons;Lilium;4;7094,51
2021-08-03;Rempel LLC;Blazer Slim Fit;3;11157,42
2021-08-05;Glover LLC;Blazer Slim Fit;5;10781,97
2023-04-09;Weimann Group;Blazer Slim Fit;5;9401,39
2022-07-24;Schmidt, Gulgowski and Lindgren;Blazer Slim Fit;3;7866,26
2022-11-26;Beatty, Lubowitz and Bailey;Paeonia;3;6130,3
2021-09-15;Lemke-Hyatt;Paeonia;5;11312,24
2023-03-03;Mertz-Hickle;Paeonia;3;6522,24
2023-03-17;Klein, Nikolaus and Lebsack;Roseta;3;7939,26
2021-12-02;Tillman LLC;Roseta;5;8919,1
2023-08-13;Ratke, Bosco and Bogisich;Blazer Poderoso Chefão;3;6691,73
2021-07-25;Hermann, Murazik and Miller;Blazer Poderoso Chefão;4;9955,88
2023-09-20;Brown Group;Intense;3;9326,68
2021-06-05;Ferry Inc;Intense;4;5501,88
2023-07-22;Hilll-Schneider;Intense;5;5856,26
2022-05-21;Price, Kautzer and Heller;Intense;5;10885,05
2022-08-10;Thiel Group;Folhagem;4;5444,28
